Key,Id,English(en),Russian(ru)
"Intro01",20997321019392,"Welcome to my VR demo","Приветствую вас в моем VR демо"
"Intro02",21070268354560,"A normal looking one, but we’ll get to the fun stuff soon","На первый взгляд обычом, но мы скоро дойдем до интересной части"
"Intro03",21092292644864,"For now just press the ""Next"" button in front of you by touching it with a controller","Пока что нажмите кнопку ""Далее"" перед собой, коснувшись её контроллером"
"Intro1",1299997020160,"First look around you","Посмотрите по сторонам"
"Intro2",4725394806427648,"(using thumbsticks if necessary)","(можно с помощью стиков)"
"Intro2_1",1364098568192,"(And press ""Next"" again to continue)","(И нажмите ""Далее"" еще раз, чтобы продолжить)"
"Intro3",1406570090496,"Everything you see around you is 3D","Всё, что вы видите вокруг - 3D"
"Intro4",1429005422592,"Meaning you can describe the position of everything using 3 numbers - dimensions","Это значит, что позицию всего вокруг можно описать 3 числами - координатами"
"Intro5",1453940559872,"X, Y and Z - horizontal plane and a vertical axis","X, Y и Z - горизонтальная плоскость и вертикальная ось"
"Intro6",1476514304000,"Now imagine that there could be another, fourth dimension","А теперь представьте, что координат могло бы быть 4"
"Intro7",1486467387392,"And while being placed along the familiar 3 dimensions","И вместе с расположением на закомых 3 координатах"
"Intro8",1604822257664,"Everything also exists somewhere along the fourth one","Все вещи так же находятся где-то на 4"
"Intro9",1627458916352,"For that to happen, there should be a way to draw a fourth line","Чтобы это было возможно, должен быть способ начертить 4 линию"
"Intro10",1636547973120,"perpendicular to the other three","перпендикулярно 3 существующим"
"Intro11",1646387810304,"Which is impossible in our world.","Что невозможно в нашем мире."
"Intro12",1661948678144,"But as there are ways to show 3D shapes on paper","Но как существуют способы показать 3D фигуры на бумаге"
"Intro13",1797399531520,"We could “draw” 4d shapes in 3d space","Так мы можем и “нарисовать” 4D фигуру в 3D пространстве"
"Intro14",1809231663104,"While by itself 4D objects are nothing more than an interesting concept","И хоть 4D объекты сами по себе не более, чем занимательная идея"
"Intro15",1820552089600,"They produces very cool visuals when spun around the 4th axis","Они очень интересно выглядят в вращении вокруг 4 оси координат"
"Tutorial1",2508849958912,"To move around press A or X buttons to show the teleportation rays","Для перемещения, нажмите кнопки A или X чтобы включить лучи телепортации"
"Tutorial2",2569990328320,"Point at the floor then press the Side Trigger to teleport","Наведитесь на пол и нажмите Боковой Триггер"
"Tutorial3",2578462822400,"(The “Next” button is now on the front side of the pedestal)","(Кнопка Далее теперь находится на передней стороне пьедестала)"
"Tutorial4",2589082800128,"Smooth movement and rotation are also available","Вы также можете испльзовать плавное перемещение и поворот"
"Tutorial5",2597710483456,"They can be enabled on the pedestal","Их можно включить на пьедестале"
"Tutorial6",2611887230976,"Play around with settings and use whatever is comfortable for you","Попробуйте разные настройки, чтобы найти самые удобные для вас"
"Tutorial7",2621999697920,"To grab something, touch it with a controller","Чтобы что-то схватить, коснитесь предмет контроллером"
"Tutorial8",2637455708160,"And press the Side Trigger","И нажмите Боковой Триггер"
"Tutorial9",2645458440192,"We are done with the controls!","Мы закончили с управлением!"
"Tutorial10",2655805788160,"And can get back to our 4D shape","И можем вернуться к 4D фигуре"
"Tesseract1",394170537365504,"This one is called “Tesseract”","Эта фигура называется ""Тессеракт"""
"Tesseract2",394218859941888,"It's a 4D cube, made by “stretching out” a 3D cube into the 4th dimension","Это 4D куб, который получается если ""вытянуть"" 3D куб в четвертое измерение"
"Tesseract3",394219795271680,"You can imagine it like a 2D square being stretched out into 3D to become a cube","Это можно представить как вытягивание 2D квадрата в 3 измерение, чтобы он стал кубом"
"Tesseract4",394220730601472,"So let me tell you how to control this tesseract","Давайте я расскажу, как управлять этим тессерактом"
"Tesseract5",394221594628096,"You can either use the control pedestal","Вы можете использовать пьедестал перед собой"
"Tesseract6",394222450266112,"(Press the button on the right side to switch to the tesseract controls)","(Назмите снопку на его правой стороне чтобы переключть его на управление тессерактом)"
"Tesseract7",394223217823744,"Or grab the rings around it to spin it yourself","Или возьмитесь за кольца вокруг него чтобы повернуть его вручную"
"Tesseract8",394223985381376,"If you want to move the tesseract, just grab the crystal in the middle","Чтобы переместить тессеракт, возьмитесь за кристалл в его центре"
"Tesseract9",394224786493440,"Rotating something in 4 dimensions is a bit trickier than normal","Вращение объектов в 4D несколько сложнее, чем обычно"
"Tesseract10",394225776349184,"You probably noticed, that there are 6 axis of rotation instead of the usual 3","Вы уже могли заметить, что у тессеракта 6 осей вращения, а не 3"
"Tesseract11",394523706150912,"They are labeled on the control pedestal","Они подписаны на пьедестале"
"Tesseract12",394524775698432,"But on gizmos, the usual x, y and z axis are the inner ones","А на рамках, обычные x, y и z находятся внутри"
"Tesseract13",394525765554176,"While xw, yw and zw - the 4th dimension ones - are the outer","А xw, yw, и zw - оси 4 измерения - снаружи"
"Tesseract14",394526805741568,"If you want to reset the tesseract rotation press the “reset” button on the right side of the pedestal","Если вы хотите сбросить поворот тессеракта, нажмите кнопку ""сброс"" на правой стороне пьедестала"
"Tesseract15",394528173084672,"You can also make the tesseract rotate by itself, like it did in the beginning","Также вы можете задать тессеракту постоянное вращение, которое было у него в начале"
"Tesseract16",394533801840640,"To do that, press the button in the middle of the control pedestal","Чтобы это сделать, нажмите кнопку в центре пьедестала"
"Tesseract17",394536918208512,"It will switch the knobs to be setting the constant rotations instead of controlling the tesseract","Она переключит реле на нем в режим настройки постоянного врещения"
"Lecture1",2998493007872,"Now you might be asking “This is nice, but why do I need all of this?”","У вас мог появиться вопрос: ""Зачем это 4D может быть нужно?"""
"Lecture2",3026875863040,"Well, I just wanted to show you how cool these 4d projections look","Здесь я просто хотел показать насколько интересно выглядят эти фигуры"
"Lecture3",3043955068928,"But they actually have real uses","Но у них есть и практическое применение"
"Lecture4",3050812755968,"If you tried to spin this tesseract for some time already","Если вы уже пробовали крутить этот тессеракт"
"Lecture5",3058266034176,"You might have noticed, that it’s becoming harder to spin in some directions","Вы наверное заметили, что становится тяжелее найти ось, которая повернет его как надо"
"Lecture6",3067795492864,"Multiple gizmos are starting to do the same thing","Несколько рамок поворачивают фигуру одинаково"
"Lecture7",3077605969920,"This is called “Gimbal Locking”","Это называется ""Шарнирный замок"""
"Lecture8",3085583536128,"It’s a known problem that occurs while using 3 axis to rotate objects","Это известная проблема появляющаяся при вращении объектов используя 3 координаты"
"Lecture9",3093393330176,"And it’s even more noticeable if you have 6 axis instead of 3","Она еще более заметна, когда используются 6 координат"
"Lecture10",3101366702080,"To avoid it, we can use something called a “Quaternion”","Чтобы избежать этого, используются ""Кватернионы"""
"Lecture11",3117036621824,"It’s basically a 4D vector, or coordinates of a point in a 4d space","Это 4D векторы, или координаты точек в 4D пространстве"
"Lecture12",3124158550016,"Using some clever maths and 4 numbers instead of 3","Используя 4D вычисления и 4 числа вместо 3"
"Lecture13",3129736974336,"Gizmal locks can be avoided entirely","Шарнирный замок можно исбежать"
"Lecture14",3136661770240,"But these quaternions are very unintuitive to work with","Но работа с кватернионами весьма неинтуитивна"
"Lecture15",3143351685120,"Usually just sticking to the formulas and ignoring the actual vectors is enough","И хотя обычно слепо следовать формулам достаточно"
"Lecture16",3151069204480,"But it can be fun to get an intuition of these formulas and 4d vectors","Получить интуитивное понимание работы этих формул тоже может быть интересно"
"Lecture17",3158325350400,"To actually understand how they are controlling the rotation","Чтобы понять, как они управляют поворотом предметов"
"Lecture18",3166005121024,"And to do that, an understanding of 4d vectors or objects is often required","И чтобы их понять, часто необходимо освоить представление 4D векторов и объектов"
"Lecture19",3173202546688,"Another use for 4d visualisation is drawing multidimensional graphs","Другое применение 4D визуализации - отоображение многомерных графов"
"Lecture20",3183373733888,"But I'm not going to go into details on them","Но я не буду в это углубляться"
"Lecture21",3202382319616,"As they can be a topic of an entire demo by themselves","Ведь чтобы их объяснить, потребуется другое полноценное демо"
"Lecture22",3208648609792,"So there you go","Вот и все"
"Lecture23",3214088622080,"Feel free to play around some more","DNT Feel free to play around some more"
"Lecture24",3220224888832,"And contact me at t.me/Anelikar or in any other way","И если вам понравилось, напишите мне в t.me/Anelikar или по любым другим контактам"
"Lecture25",3227657195520,"Have a nice day!","Хорошего вам дня!"
